no.,domain,domain_name,siteID,site_name,state,latitude,longitude,elevation_m,MAT_C,MAP_mm,Temp_s,Prec_s,started_year,end_year,duration,no.plot,spa_dist,alpha_div,beta_div1,gamma_div,beta_div2,tau_div,spe_sta,spe_asyn,alpha_sta,spa_asyn1,gamma_sta,spa_asyn2,tau_sta,slope_alpha_sta~alpha_div,slope_spa_asyn1~beta_div1,slope_gamma_sta~gamma_div,se_alpha,se_beta1,se_gamma
23,D09,Northern Plains,WOOD,Woodworth,ND,47.12823,-99.24136,579,4.6,431,12121,71,2014,2020,7,24,1.75780052,1.804573839,1.084638501,2.841581594,1.777773227,4.619354821,0.059841464,0.618484174,0.678325638,0.290422178,0.968747816,0.276972676,1.245720492,0.19068571,0.212433352,0.096668667,0.061322862,0.091079866,0.086758972
24,D10,Central Plains,CPER,Central Plains Experimental Range,CO,40.81553,-104.7456,1648,8.6,362,8565,58,2013,2020,8,22,4.232261364,2.193983852,0.926410709,3.116792761,1.297519537,4.414312298,-0.130187927,0.730471434,0.600283507,0.133190368,0.733473875,0.077647741,0.811121617,0.260843963,0.181590461,0.438579536,0.110226896,0.128543225,0.133089453
25,D10,Central Plains,RMNP,"Rocky Mountain National Park, CASTNET",CO,40.27591,-105.54592,2743,0.4,641,7349,17,2017,2020,4,33,4.164842296,1.409692714,1.41824325,2.76974377,2.12809603,4.8978398,0.086153923,0.567962944,0.654116867,0.566680723,1.22079759,0.340847192,1.561644782,0.124880196,0.131450357,-0.085897988,0.091442019,0.206743376,0.151427291
26,D10,Central Plains,STER,"North Sterling, CO",CO,40.4619,-103.0293,1364,9.2,419,9230,72,2014,2020,7,6,1.233789688,1.618916656,0.740759577,2.360404664,0.805672975,3.166077639,-0.698879562,1.095727023,0.396847462,0.172248264,0.569095726,0.143744582,0.712840307,-0.512245607,-0.172809548,-0.097391239,0.639416353,0.216076493,0.443408723
27,D11,Southern Plains,CLBJ,LBJ National Grassland ,TX,33.40123,-97.57,259,17.6,874,8039,35,2016,2019,4,22,3.638716422,2.29817196,1.312727884,3.589184676,1.868270912,5.457455588,-0.088569985,0.682751196,0.594181211,0.626033607,1.220214818,0.569040205,1.789255023,0.252348521,-1.413695161,0.001474298,0.110764727,0.885180815,0.422146236
28,D11,Southern Plains,OAES,Klemme Range Research Station,OK,35.41059,-99.05879,516,15.5,698,8992,47,2015,2019,5,29,1.249630004,2.269723429,1.108341224,3.374640964,1.453672773,4.828313737,-0.016442958,0.703101779,0.686658821,0.141464467,0.828123288,0.143425828,0.971549115,0.168673175,0.231675324,0.141414569,0.173560816,0.213461484,0.178840905
29,D13,Southern Rockies & Colorado Plateau,MOAB,Moab,UT,38.24833,-109.38827,1767,9.8,312,8964,23,2015,2019,5,10,3.769443681,1.726331664,0.955549071,2.59076704,1.250833501,3.841600541,-0.00214018,0.514371753,0.512231573,0.206168886,0.71840046,0.165133193,0.883533652,0.326269897,0.362240099,-0.166751228,0.09010958,0.286398585,0.333717643
30,D13,Southern Rockies & Colorado Plateau,NIWO,Niwot Ridge Mountain Research Station,CO,40.05425,-105.58237,3513,-0.5,705,7330,16,2015,2020,6,31,1.903186432,2.062754017,1.120577116,2.996269763,1.82132001,4.817589774,-0.154533505,1.144683813,0.990150308,0.438533931,1.42868424,0.351224713,1.779908952,0.200282909,0.178235025,0.104987752,0.056132294,0.137923898,0.089318972
31,D14,Desert Southwest,JORN,Jornada LTER,NM,32.59068,-106.84254,1329,14.9,256,7634,73,2015,2019,5,19,2.723728774,1.377704946,1.205044953,2.546150275,1.486318883,4.032469159,0.043254751,0.369042595,0.412297346,0.171037949,0.583335295,0.129443651,0.712778946,-0.428233373,0.135931716,-0.114754417,0.197863381,0.143719388,0.295552038
32,D14,Desert Southwest,SRER,Santa Rita Experimental Range,AZ,31.91068,-110.83549,983,19,346,6840,77,2016,2019,4,33,5.61236337,1.811914827,1.206148594,3.002527317,1.885940343,4.88846766,-0.198474078,0.493334923,0.294860845,0.169365101,0.464225946,0.180864682,0.645090629,0.250988312,0.138674679,0.176934712,0.103237395,0.291903822,0.161596467
33,D15,Great Basin,ONAQ,Onaqui,UT,40.17759,-112.45244,1685,9.3,349,8930,20,2016,2019,4,30,4.637789944,1.711543135,0.850573801,2.578953406,1.827765842,4.406719247,0.137849891,0.389469584,0.527319474,0.236357391,0.763676865,0.414098236,1.177775101,0.265146919,0.490280557,0.521898402,0.300262569,0.282456463,0.329020326
34,D16,Pacific Northwest,ABBY,Abby Road,WA,45.76243,-122.33033,363,8.3,2556,5184,63,2017,2020,4,33,4.26603372,1.989973637,1.258095115,3.230325182,1.627547358,4.85787254,0.191980693,0.495983354,0.687964047,0.482227705,1.170191752,0.412178612,1.582370364,0.027636715,-1.037930817,0.109166596,0.099002927,0.458960404,0.217239332
35,D19,Taiga,DEJU,Delta Junction,AK,63.88112,-145.75136,529,-3.1,300,13008,78,2016,2019,4,31,3.911299409,1.945189844,0.931137645,2.875476425,1.699234554,4.574710979,0.287749466,0.329179598,0.616929064,0.345305981,0.962235045,0.131509301,1.093744346,0.002334934,-0.028523368,-0.031248303,0.078542407,0.192233452,0.110472802
36,D19,Taiga,HEAL,Healy,AK,63.87569,-149.21334,705,-4.6,398,11598,66,2016,2019,4,32,4.418228871,2.042513121,0.669084395,2.732234554,1.571830539,4.304065093,0.379376569,0.502912715,0.882289283,0.495488697,1.37777798,0.275068699,1.652846679,0.10889722,0.571806265,0.396319224,0.198084968,0.329051758,0.281712461
